date,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,PPO Agent 1,PPO Agent 2,TD3 Agent 1,TD3 Agent 2,Mean Var,djia
2025-03-06 16:30:00+00:00,924848.9698786926,924848.9698786926,897873.6711358642,924848.9698786926,927180.7248081208,927180.7248081208,897873.6711358642,924848.9698786926,815870.7574004234,949554.1595410487
2025-03-06 17:30:00+00:00,924015.6527705383,924015.6527705383,897064.6976708984,924015.6527705383,926345.2952350617,926345.2952350617,897064.6976708984,924015.6527705383,815135.5855408283,949905.3889005412
2025-03-06 18:30:00+00:00,915690.1923213196,915690.1923213196,888982.4484033203,915690.1923213196,917998.7296833039,917998.7296833039,888982.4484033203,915690.1923213196,807790.6694452092,947770.3438303255
2025-03-06 19:30:00+00:00,920388.8746943665,920388.8746943665,893543.8684472656,920388.8746943665,922709.3232501984,922709.3232501984,893543.8684472656,920388.8746943665,811935.9570242562,951054.8271299542
2025-03-06 20:30:00+00:00,916104.4176020812,916104.4176020812,889384.5729455565,916104.4176020812,918414.0050281524,918414.0050281524,889384.5729455565,916104.4176020812,808156.1086843283,951329.8578734337
2025-03-07 14:30:00+00:00,919915.0500178528,919915.0500178528,893083.8855828857,919915.0500178528,922234.2974246979,922234.2974246979,893083.8855828857,919915.0500178528,811517.9378030667,951579.489078242
2025-03-07 15:30:00+00:00,908814.4571528627,908814.4571528627,882307.5736779786,908814.4571528627,911105.5644763948,911105.5644763948,882307.5736779786,908814.4571528627,801724.7349283078,944233.8726676612
2025-03-07 16:30:00+00:00,903057.0796809386,903057.0796809386,876718.386132202,903057.0796809386,905333.5920108794,905333.5920108794,876718.386132202,903057.0796809386,796645.4417504683,945593.7517484003
2025-03-07 17:30:00+00:00,915515.4390559386,915515.4390559386,888812.800194702,915515.4390559386,917823.5334171294,917823.5334171294,888812.800194702,915515.4390559386,807636.498023762,952085.9960298165
2025-03-07 18:30:00+00:00,929938.6824336243,929938.6824336243,902814.6982202148,929938.6824336243,932283.3398212433,932283.3398212433,902814.6982202148,929938.6824336243,820361.0209593957,957249.1723547232
2025-03-07 19:30:00+00:00,932879.5302424622,932879.5302424622,905669.6352166748,932879.5302424622,935231.6427005768,935231.6427005768,905669.6352166748,932879.5302424622,822955.5057374629,956600.0439385835
2025-03-07 20:30:00+00:00,933915.0302424622,933915.0302424622,906674.8852166748,933915.0302424622,936269.7677005768,936269.7677005768,906674.8852166748,933915.0302424622,823869.0480770614,956221.1456658306
2025-03-10 13:30:00+00:00,895265.1697077942,895265.1697077942,869154.1007623291,895265.1697077942,897521.9294895172,897521.9294895172,869154.1007623291,895265.1697077942,789771.2363745081,948369.0223036754
2025-03-10 14:30:00+00:00,891900.2371211243,891900.2371211243,865887.4677514648,891900.2371211243,894148.4667743683,894148.4667743683,865887.4677514648,891900.2371211243,786802.6140782094,948078.716923538
2025-03-10 15:30:00+00:00,895435.8148493958,895435.8148493958,869319.7608575439,895435.8148493958,897693.0072177887,897693.0072177887,869319.7608575439,895435.8148493958,789921.7835129919,944836.0424865327
2025-03-10 16:30:00+00:00,886945.5238337708,886945.5238337708,861077.4962091064,886945.5238337708,889181.193252945,889181.193252945,861077.4962091064,886945.5238337708,782431.4500332375,941029.6903150337
2025-03-10 17:30:00+00:00,884459.5401301576,884459.5401301576,858664.1353997804,884459.5401301576,886688.9075626375,886688.9075626375,858664.1353997804,884459.5401301576,780238.2570165283,936278.0563435085
2025-03-10 18:30:00+00:00,883547.4734492493,883547.4734492493,857778.7128686523,883547.4734492493,885774.5287860871,885774.5287860871,857778.7128686523,883547.4734492493,779433.6104404329,935571.5825771734
2025-03-10 19:30:00+00:00,886613.3346247864,886613.3346247864,860755.0112237548,886613.3346247864,888848.1619419098,888848.1619419098,860755.0112237548,886613.3346247864,782138.3849369893,936487.013372988
2025-03-11 13:30:00+00:00,880731.702209015,880731.702209015,855045.1985864259,880731.702209015,882951.6195453645,882951.6195453645,855045.1985864259,880731.702209015,776949.4711390543,926036.4561062368
2025-03-11 14:30:00+00:00,902145.8346247864,902145.8346247864,875833.7612237548,902145.8346247864,904420.0369419098,904420.0369419098,875833.7612237548,902145.8346247864,795841.5200309658,926024.8473823768
2025-03-11 15:30:00+00:00,901524.5599055481,901524.5599055481,875230.6357659912,901524.5599055481,903797.1872867584,903797.1872867584,875230.6357659912,901524.5599055481,795293.4169304866,924775.2948201264
2025-03-11 16:30:00+00:00,891086.702209015,891086.702209015,865097.6985864259,891086.702209015,893332.8695453645,893332.8695453645,865097.6985864259,891086.702209015,786084.8945350386,920338.318363753
2025-03-11 17:30:00+00:00,914861.8049617005,914861.8049617005,888178.2606744384,914861.8049617005,917168.2423557282,917168.2423557282,888178.2606744384,914861.8049617005,807059.8467251704,928232.5124394459
2025-03-11 18:30:00+00:00,917998.1362605285,917998.1362605285,891222.9705133055,917998.1362605285,920312.5242771148,920312.5242771148,891222.9705133055,917998.1362605285,809826.7916141005,929839.229648576
2025-03-11 19:30:00+00:00,900033.437377472,900033.437377472,873783.0733117675,900033.437377472,902302.2847522736,902302.2847522736,873783.0733117675,900033.437377472,793977.9137311368,925668.9047064298
