time/total_timesteps,train/reward,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/clip_fraction
168192,7.8663464,1314,2251,74,3249.7220825195313,-0.00010080225765705109,13130,1.8677674e-06,1667.526123046875,-1.4051745414733887,1.3575277728743006e-05,0.986329972743988,0.2,0.001980721950531006,0.0
168320,-47.252968,1315,2251,74,5245.876000976563,-0.00012877634726464747,13140,5.424954e-07,2951.49609375,-1.40517138838768,1.3575277728743006e-05,0.9863296747207642,0.2,0.0030604004859924316,0.0
168448,-20.518524,1316,2251,74,8500.933837890625,-5.087903700768947e-05,13150,2.2412278e-06,3995.180419921875,-1.4051713407039643,1.3575277728743006e-05,0.9863197803497314,0.2,-0.0001914501190185547,0.0
168576,-0.67063755,1317,2251,74,3706.169323730469,-0.00010421951301395894,13160,4.172325e-07,1996.767333984375,-1.4051594316959382,1.3575277728743006e-05,0.9863131046295166,0.2,0.0010553598403930664,0.0
168704,-54.176437,1318,2251,74,3763.320947265625,-5.3860433399677274e-05,13170,3.9907172e-07,1646.3284912109375,-1.4051611781120301,1.3575277728743006e-05,0.9863250851631165,0.2,0.004423737525939941,0.0
168832,-30.911455,1319,2251,74,2293.491833496094,-0.0007247469853609801,13180,2.2696331e-05,951.1275024414062,-1.4051673054695129,1.3575277728743006e-05,0.9863115549087524,0.2,0.0012819170951843262,0.0
168960,-6.8809295,1320,2251,75,2822.3143798828123,-1.48761086165905e-05,13190,4.833564e-07,1463.7540283203125,-1.405148208141327,1.3575277728743006e-05,0.9863076210021973,0.2,0.0004926323890686035,0.0
169088,22.653215,1321,2251,75,2979.7272094726563,-0.00014606222975999117,13200,1.4351681e-06,1581.9315185546875,-1.4051567316055298,1.3575277728743006e-05,0.9863187670707703,0.2,-2.3365020751953125e-05,0.0
169216,-2.3489633,1322,2251,75,13084.6751953125,-0.000418921560049057,13210,3.6791898e-06,8676.7548828125,-1.4051658868789674,1.3575277728743006e-05,0.9863300919532776,0.2,0.002640366554260254,0.0
169344,0.88024485,1323,2251,75,1146.4079498291017,-0.00018210092093795538,13220,1.937151e-06,541.2586669921875,-1.405177354812622,1.3575277728743006e-05,0.986331582069397,0.2,0.0015399456024169922,0.0
169472,6.185699,1324,2251,75,360.2869110107422,-0.00031154192984104154,13230,6.480608e-06,161.38754272460938,-1.4051934897899627,1.3575277728743006e-05,0.9863892197608948,0.2,-0.0004930496215820312,0.0
169600,-1.2315605,1325,2251,75,978.2885345458984,-0.0003910570521838963,13240,1.8528197e-05,433.9334411621094,-1.405232548713684,1.3575277728743006e-05,0.9863508343696594,0.2,-0.0006998777389526367,0.0
169728,6.1349225,1326,2251,75,1723.0937866210938,-0.0002492905128747225,13250,4.6775676e-06,780.7724609375,-1.4051848113536836,1.3575277728743006e-05,0.986361026763916,0.2,0.0012083649635314941,0.0
169856,-1.800966,1327,2251,75,4075.800048828125,-3.4854095429182055e-05,13260,5.979091e-07,1507.582763671875,-1.4052181482315063,1.3575277728743006e-05,0.9863687753677368,0.2,0.0011832714080810547,0.0
169984,-2.3294055,1328,2251,75,1672.3772338867188,-6.258089561015368e-05,13270,9.285286e-07,904.02978515625,-1.4051942229270935,1.3575277728743006e-05,0.986327052116394,0.2,0.002127528190612793,0.0
170112,5.525998,1329,2251,75,2884.0348388671873,-0.0003639493603259325,13280,1.1702068e-05,1434.1220703125,-1.4051366984844207,1.3575277728743006e-05,0.9862436652183533,0.2,-0.00021517276763916016,0.0
170240,-49.64643,1330,2251,75,2237.1778930664063,-0.00016781999729573727,13290,2.4689361e-06,1027.0040283203125,-1.4050758063793183,1.3575277728743006e-05,0.9862402677536011,0.2,0.00014257431030273438,0.0
170368,44.625748,1331,2251,75,3523.3169555664062,-8.706431835889817e-05,13300,1.0384247e-06,1765.8367919921875,-1.4050928890705108,1.3575277728743006e-05,0.9862571358680725,0.2,0.004983484745025635,0.0
170496,2.0199792,1332,2251,75,2998.2537109375,-0.0001250223722308874,13310,1.0551885e-06,1558.3887939453125,-1.405110502243042,1.3575277728743006e-05,0.986283540725708,0.2,0.0009424090385437012,0.0
170624,9.689704,1333,2251,75,5685.532275390625,-4.894277080893517e-05,13320,3.5436824e-07,2972.64208984375,-1.4051438450813294,1.3575277728743006e-05,0.9863120317459106,0.2,-0.0001455545425415039,0.0
170752,16.516792,1334,2251,75,7182.652368164063,-0.00022806054912507533,13330,1.3178214e-06,3765.8623046875,-1.4051580667495727,1.3575277728743006e-05,0.9863120317459106,0.2,-8.26120376586914e-05,0.0
170880,3.6914897,1335,2251,75,1929.778857421875,-0.00011809319257736207,13340,1.2605451e-06,830.5198364257812,-1.4051446676254273,1.3575277728743006e-05,0.9862850904464722,0.2,0.0030197501182556152,0.0
171008,-3.0804367,1336,2251,75,1804.527490234375,-3.178664483129978e-05,13350,6.011687e-07,853.974853515625,-1.40511993765831,1.3575277728743006e-05,0.9862658977508545,0.2,-0.0019390583038330078,0.0
171136,12.185889,1337,2251,76,2486.431115722656,-0.00032060337252914906,13360,1.1852942e-05,1682.26611328125,-1.4050946831703186,1.3575277728743006e-05,0.9862317442893982,0.2,0.0025957822799682617,0.0
171264,4.3865404,1338,2251,76,2168.3002868652343,-0.0003350138897076249,13370,1.8089544e-05,1113.465087890625,-1.4050723791122437,1.3575277728743006e-05,0.9862462282180786,0.2,0.00724947452545166,0.0
171392,-0.69684017,1339,2251,76,3564.924462890625,-0.00017927559092640878,13380,3.1618401e-06,1732.081298828125,-1.4050919353961944,1.3575277728743006e-05,0.9862461686134338,0.2,0.0045868754386901855,0.0
171520,0.26763672,1340,2251,76,8162.7088623046875,-0.0001214571762830019,13390,4.4275075e-06,4112.890625,-1.4051127552986145,1.3575277728743006e-05,0.986289381980896,0.2,0.0001494884490966797,0.0
171648,2.421644,1341,2251,76,918.5883483886719,-8.166693150997162e-05,13400,1.784414e-06,400.5865783691406,-1.405136775970459,1.3575277728743006e-05,0.9862913489341736,0.2,-0.0007263422012329102,0.0
171776,-19.174896,1342,2251,76,556.5012619018555,-0.0009383634198457003,13410,4.6997797e-05,238.93212890625,-1.405167692899704,1.3575277728743006e-05,0.9864242076873779,0.2,0.0007640719413757324,0.0
171904,-9.826767,1343,2251,76,529.713981628418,3.90220433473587e-05,13420,1.2730714e-05,254.24911499023438,-1.405383425951004,1.3575277728743006e-05,0.9866356253623962,0.2,0.00043070316314697266,0.0
172032,-8.617876,1344,2251,76,2046.59599609375,-6.280331872403622e-05,13430,1.9073486e-06,961.0194702148438,-1.4054987549781799,1.3575277728743006e-05,0.986634373664856,0.2,0.0028793811798095703,0.0
