date,A2C Agent 1,A2C Agent 2,A2C Agent 3,SAC Agent 1,SAC Agent 2,SAC Agent 3,PPO Agent 1,PPO Agent 2,PPO Agent 3,TD3 Agent 1,TD3 Agent 2,TD3 Agent 3,mvo,djia
2025-05-07 18:30:00+00:00,864841.8946586762,905916.5659099185,1611642.4844075178,863819.0068258973,908394.041390186,1410740.7128724915,865009.4493199539,914845.8173347709,1574268.482141189,863819.0068258973,908394.041390186,1410740.7128724915,785372.9939356379,934944.8676476633
2025-05-07 19:30:00+00:00,893747.9093605195,936536.5986986882,1666314.8296217865,892690.9565634461,938970.4215322004,1458473.7673061646,893923.0340138626,945610.6986777724,1627626.8122869576,892690.9565634461,938970.4215322004,1458473.7673061646,811624.8917607351,938305.6122070876
2025-05-08 13:30:00+00:00,895428.0586830291,938527.5645084728,1670051.8186999725,894369.1258749694,940753.4275412417,1461697.9967373353,895603.6233388137,948191.1616257845,1631701.8068722237,894369.1258749694,940753.4275412417,1461697.9967373353,813150.7717134155,943666.3944004297
2025-05-08 14:30:00+00:00,895580.8313118136,938880.0359547773,1671146.3256270052,894521.7184653017,941091.0067289396,1462582.8658358273,895756.435976143,948994.042876147,1632670.8106380734,894521.7184653017,941091.0067289396,1462582.8658358273,813289.5169359129,947209.1551372661
2025-05-08 15:30:00+00:00,901613.2525840913,946077.4388932921,1683110.476551828,900547.0306906434,948149.3489893916,1473544.2837732087,901790.4370366287,955466.266148554,1644239.9779243243,900547.0306906434,948149.3489893916,1473544.2837732087,818768.0482558212,951357.8041197368
2025-05-08 16:30:00+00:00,900505.913220993,945145.0435191632,1681772.7396804593,899440.9962973327,947798.7301797741,1472188.1725143292,900682.8076802443,955087.0698774772,1642629.9064434774,899440.9962973327,947798.7301797741,1472188.1725143292,817762.3835138078,951774.8985155025
2025-05-08 17:30:00+00:00,901041.2583442841,945881.2234451805,1683723.7447747889,899975.7105307312,949074.2230762301,1473339.2929208218,901218.2930012894,956171.1278204587,1644573.525197414,899975.7105307312,949074.2230762301,1473339.2929208218,818248.5738663266,949663.8319051618
2025-05-08 18:30:00+00:00,905359.969258896,951098.454977058,1692720.425899195,904289.3319601746,954376.2426372018,1481011.0817419777,905538.1349126053,961673.1683279398,1652474.9904384962,904289.3319601746,954376.2426372018,1481011.0817419777,822170.7457338754,951230.9011209824
2025-05-08 19:30:00+00:00,896420.9059730684,942134.8653043329,1676804.634877566,895360.8031210634,945012.9190096522,1467225.6248897528,896596.7306386186,952824.3088131513,1636361.6607510417,895360.8031210634,945012.9190096522,1467225.6248897528,814052.4569122532,944564.25764109
2025-05-09 13:30:00+00:00,886963.2198158416,932246.8811698534,1659645.3947559665,885914.2625937194,935638.9970834826,1452690.347495295,887136.5676747512,942901.2335331151,1620096.1764815992,885914.2625937194,935638.9970834826,1452690.347495295,805463.1645721535,943182.4150791084
